"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_011","images/sample/case_011/img_1.jpg","Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.","laptop","true","The keyboard area is clearly visible and shows significant liquid presence.","none","stain","keyboard","supported","The image img_1 clearly shows water covering the keyboard area, supporting the user's claim of a spill affecting the keys.","img_1","true","medium"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.","laptop","true","The laptop lid and corner are clearly visible in the provided images.","none","dent","corner","supported","Image img_2 clearly shows a physical dent on the corner of the laptop lid, supporting the user's claim.","img_2","true","low"
"user_018","images/sample/case_013/img_1.jpg","Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.","laptop","true","The laptop screen is clearly visible in the image, showing significant damage.","none","crack","screen","supported","The image img_1 clearly shows a shattered screen with a central impact point and radiating cracks, supporting the user's claim of screen damage.","img_1","true","medium"
"user_020","images/sample/case_014/img_1.jpg","Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.","laptop","true","The trackpad area is clearly visible in the submitted image.","manual_review_required;user_history_risk","none","trackpad","contradicted","The image shows a clean trackpad surface. The white circle highlights a minor surface mark or reflection, which does not constitute physical damage such as a dent or crack.","none","true","none"
"user_015","images/sample/case_015/img_1.jpg","Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.","package","true","The image clearly shows the corner of the shipping box, allowing for inspection of the claimed damage.","none","crushed_packaging","package_corner","supported","The image img_1 clearly shows the corner of the package is crushed and deformed, supporting the user's claim.","img_1","true","medium"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.","package","true","The package seal area is clearly visible in img_1, allowing for inspection of the claimed damage.","none","torn_packaging","seal","supported","Image img_1 clearly shows the tape seal is torn and damaged, supporting the user's claim of tampered packaging. Image img_2 appears to be a stock photo or different box and is irrelevant to the specific damage shown in img_1.","img_1","true","medium"
"user_031","images/sample/case_017/img_1.jpg","Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.","package","true","The image clearly shows a large, dark, wet-looking stain on the side of the shipping box.","manual_review_required;user_history_risk","water_damage","package_side","supported","The image img_1 clearly displays a significant water-like stain on the side panel of the package, supporting the customer's claim of water damage.","img_1","true","medium"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.","package","false","The images show a sealed box and the interior packing material, but do not provide evidence of the actual contents or confirm that the item is missing.","damage_not_visible;manual_review_required","unknown","contents","not_enough_information","While img_1 shows the interior of the box, it only displays packing paper; there is no visual evidence to confirm the absence of the specific ordered item. Img_2 shows an intact, sealed exterior.","none","false","unknown"
"user_033","images/sample/case_019/img_1.jpg","Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.","package","true","The image clearly shows the object, but it is a food can, not a shipping box.","claim_mismatch;manual_review_required;user_history_risk;wrong_object","unknown","unknown","contradicted","The user claims a shipping box is crushed, but the image shows a dented food can. The object category does not match the claim.","none","true","unknown"
"user_034","images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg","Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.","package","true","The package seal and exterior are clearly visible in the provided images.","manual_review_required;text_instruction_present;user_history_risk","torn_packaging","seal","supported","Image img_1 clearly shows the package seal is torn and the box corner is damaged. While img_2 shows an intact seal on a different side, the claim of a torn seal is supported by the visual evidence in img_1. The sticky note instruction must be ignored.","img_1","true","medium"
