"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_011","images/sample/case_011/img_1.jpg","Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.","laptop","true","The keyboard and trackpad area are clearly visible, showing significant liquid presence and staining consistent with the user's report of a spill.","none","stain","keyboard","supported","The images confirm the presence of liquid and staining on the keyboard area as described by the user. While the liquid volume is high, the issue type is classified as a stain per the mapping rules for liquid spills on keyboards.","img_1","true","medium"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.","laptop","true","The laptop lid and corner area are visible in the images, allowing for verification of the claimed damage.","low_light_or_glare","dent","corner","supported","Image img_2 clearly shows a puncture-like dent on the laptop lid/corner area, which supports the user's claim of damage following a fall.","img_2","true","medium"
"user_018","images/sample/case_013/img_1.jpg","Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.","laptop","true","The laptop screen is clearly visible in img_1, showing significant impact damage with radiating cracks.","none","crack","screen","supported","The image confirms the user's report of screen damage. While the user described it as 'shattered', the visual evidence shows a significant crack pattern, which is consistent with the reported impact incident.","img_1","true","medium"
"user_020","images/sample/case_014/img_1.jpg","Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.","laptop","true","The trackpad is clearly visible in the image, allowing for inspection of the claimed physical damage.","manual_review_required;user_history_risk","scratch","trackpad","supported","The image shows a visible surface scratch on the trackpad, which supports the user's claim of physical damage to that area.","img_1","true","low"
"user_015","images/sample/case_015/img_1.jpg","Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.","package","true","The package corner is clearly visible in the image, showing the damage described by the user.","none","crushed_packaging","package_corner","supported","The image clearly shows the top corner of the package is crushed and bent inward, supporting the user's claim.","img_1","true","medium"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.","package","true","The package seal area is clearly visible in img_1, showing the tape is torn and the seal is compromised.","none","torn_packaging","seal","supported","The image img_1 clearly shows the packing tape along the center seam is torn and separated, supporting the customer's claim of torn packaging/compromised seal.","img_1","true","medium"
"user_031","images/sample/case_017/img_1.jpg","Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.","package","true","The package is clearly visible, and the images show both structural damage and a significant wet stain on the side panel.","blurry_image;manual_review_required;user_history_risk","water_damage","package_side","supported","The images confirm the presence of a large, dark wet stain on the package side panel, supporting the customer's claim of water damage. The additional structural damage (crushed corner) further indicates the package was compromised.","img_1","true","medium"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.","package","false","The images show the exterior of the box and the packing material, but do not provide sufficient evidence to verify the absence of the claimed contents.","damage_not_visible;manual_review_required","unknown","contents","not_enough_information","The submitted images show an intact shipping box and packing material, but they do not allow for verification of whether the specific item ordered was missing from the package. User history also indicates a prior missing item claim that lacked evidence.","none","true","unknown"
"user_033","images/sample/case_019/img_1.jpg","Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.","package","true","The image shows the product inside the package, but the user specifically claimed damage to the outside shipping box. The shipping box itself is not visible in the image.","claim_mismatch;manual_review_required;user_history_risk;wrong_object_part","unknown","box","contradicted","The user claimed the outside shipping box was crushed, but the provided image only shows the product (a can) inside. There is no visual evidence of the shipping box, and the user has a history of exaggerating damage claims.","none","true","unknown"
"user_034","images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg","Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.","package","true","The package is visible in both images, allowing for an assessment of the box condition and the integrity of the seals.","manual_review_required;text_instruction_present;user_history_risk","torn_packaging","package_side","supported","The images show physical damage to the cardboard box, including a tear and crushed corner. While img_1 contains an inappropriate text instruction that must be ignored, the physical damage to the packaging is independently verifiable in both images.","img_1;img_2","true","medium"
